iter	Passed	Remaining
0	135	135665
1	136	68207
2	137	45627
3	138	34371
4	139	27692
5	139	23185
6	140	19942
7	141	17518
8	142	15666
9	142	14146
10	143	12896
11	144	11856
12	144	10990
13	145	10254
14	146	9595
15	146	9026
16	147	8523
17	147	8073
18	148	7666
19	148	7299
20	149	6989
21	150	6693
22	151	6419
23	151	6167
24	152	5937
25	153	5749
26	154	5553
27	154	5370
28	156	5225
29	157	5082
30	157	4934
31	158	4793
32	159	4660
33	159	4534
34	160	4432
35	161	4321
36	161	4215
37	162	4115
38	163	4037
39	164	3948
40	165	3861
41	165	3780
42	166	3704
43	167	3633
44	167	3561
45	168	3491
46	169	3444
47	170	3390
48	171	3331
49	172	3274
50	173	3225
51	173	3170
52	174	3117
53	175	3070
54	176	3028
55	177	2983
56	177	2937
57	178	2893
58	178	2850
59	179	2813
60	180	2775
61	180	2736
62	181	2698
63	182	2666
64	183	2632
65	183	2599
66	184	2567
67	185	2548
68	186	2521
69	187	2491
70	188	2461
71	188	2432
72	189	2410
73	190	2382
74	190	2355
75	191	2328
76	192	2305
77	193	2282
78	193	2256
79	194	2233
80	194	2211
81	195	2190
82	195	2165
83	196	2142
84	197	2121
85	197	2100
86	198	2082
87	199	2062
88	199	2044
89	200	2029
90	201	2014
91	202	1995
92	202	1978
93	203	1960
94	204	1947
95	205	1930
96	205	1914
97	206	1897
98	207	1889
99	208	1874
100	208	1859
101	209	1845
102	210	1832
103	211	1818
104	211	1804
105	212	1791
106	213	1779
107	214	1768
108	214	1756
109	215	1746
110	216	1734
111	217	1721
112	217	1708
113	218	1696
114	218	1684
115	219	1672
116	219	1659
117	220	1648
118	221	1638
119	222	1628
120	222	1616
121	223	1605
122	223	1594
123	224	1587
124	225	1577
125	225	1566
126	226	1555
127	227	1548
128	228	1540
129	228	1531
130	229	1522
131	230	1515
132	231	1508
133	232	1500
134	232	1490
135	233	1482
136	233	1473
137	234	1465
138	235	1457
139	235	1448
140	236	1442
141	237	1433
142	237	1425
143	238	1417
144	239	1409
145	239	1402
146	240	1395
147	240	1386
148	241	1379
149	242	1372
150	243	1369
151	244	1362
152	244	1355
153	245	1348
154	246	1344
155	247	1338
156	247	1331
157	248	1324
158	249	1318
159	250	1313
160	250	1307
161	251	1301
162	252	1295
163	253	1290
164	253	1284
165	254	1278
166	255	1272
167	255	1265
168	256	1262
169	257	1256
170	257	1250
171	258	1244
172	259	1241
173	260	1235
174	260	1230
175	261	1224
176	262	1220
177	263	1215
178	263	1210
179	264	1205
180	265	1201
181	266	1196
182	266	1191
183	267	1186
184	268	1182
185	269	1177
186	269	1172
187	270	1166
188	271	1164
189	271	1159
190	272	1154
191	273	1149
192	273	1145
193	275	1142
194	275	1138
195	276	1133
196	277	1132
197	278	1129
198	279	1124
199	280	1120
200	280	1115
201	281	1113
202	282	1109
203	283	1105
204	283	1100
205	284	1098
206	285	1094
207	286	1090
208	287	1086
209	287	1083
210	288	1080
211	289	1076
212	290	1072
213	291	1069
214	292	1066
215	292	1062
216	293	1058
217	294	1055
218	295	1052
219	295	1048
220	296	1044
221	297	1042
222	298	1038
223	298	1035
224	299	1031
225	300	1027
226	301	1025
227	301	1022
228	302	1018
229	303	1014
230	303	1010
231	304	1008
232	305	1004
233	305	1001
234	306	997
235	307	994
236	308	993
237	309	990
238	309	986
239	310	983
240	312	983
241	313	980
242	313	977
243	314	973
244	314	970
245	316	969
246	316	966
247	317	962
248	318	959
249	318	955
250	319	953
251	320	950
252	320	947
253	321	944
254	322	943
255	323	940
256	324	937
257	324	934
258	325	932
259	326	929
260	327	926
261	327	923
262	328	921
263	329	919
264	330	916
265	330	913
266	331	910
267	331	906
268	333	905
269	333	902
270	334	899
271	334	896
272	335	893
273	336	892
274	337	890
275	338	887
276	338	884
277	339	881
278	340	880
279	341	877
280	341	874
281	342	872
282	343	871
283	344	869
284	345	866
285	346	864
286	346	861
287	347	859
288	348	857
289	348	854
290	349	851
291	350	849
292	351	847
293	351	845
294	352	842
295	353	841
296	354	839
297	355	836
298	355	834
299	356	832
300	357	830
301	358	828
302	359	825
303	360	824
304	361	823
305	361	820
306	362	818
307	363	816
308	364	814
309	364	811
310	365	809
311	365	807
312	366	805
313	367	802
314	368	800
315	369	799
316	369	797
317	370	794
318	371	792
319	371	790
320	372	788
321	373	786
322	374	784
323	374	782
324	375	780
325	376	778
326	377	776
327	377	773
328	378	772
329	379	770
330	379	767
331	380	766
332	381	764
333	382	762
334	382	760
335	383	758
336	384	756
337	385	754
338	385	752
339	386	750
340	387	748
341	387	746
342	388	744
343	389	742
344	389	740
345	390	738
346	391	736
347	392	735
348	393	733
349	393	731
350	394	728
351	394	726
352	395	724
353	396	723
354	397	721
355	397	719
356	398	717
357	399	716
358	400	714
359	400	712
360	401	709
361	402	708
362	402	706
363	403	704
364	403	702
365	404	700
366	405	699
367	406	697
368	406	695
369	407	693
370	408	691
371	408	690
372	409	688
373	410	686
374	411	686
375	412	684
376	413	682
377	413	681
378	414	679
379	415	677
380	415	675
381	416	673
382	417	672
383	418	670
384	418	668
385	419	667
386	420	665
387	421	664
388	421	662
389	422	660
390	422	658
391	423	657
392	424	656
393	425	654
394	425	652
395	426	651
396	427	649
397	428	648
398	429	647
399	430	645
400	430	643
401	431	641
402	432	639
403	432	638
404	433	636
405	434	634
406	434	633
407	435	631
408	436	630
409	436	628
410	437	626
411	437	624
412	438	623
413	439	621
414	439	619
415	440	618
416	441	616
417	441	615
418	442	613
419	443	611
420	443	610
421	444	608
422	445	607
423	445	605
424	446	603
425	447	602
426	447	600
427	448	599
428	448	597
429	449	595
430	450	594
431	450	592
432	451	591
433	452	589
434	452	587
435	453	586
436	454	585
437	454	583
438	455	582
439	456	580
440	456	579
441	457	577
442	458	576
443	459	574
444	459	573
445	460	571
446	460	570
447	461	568
448	462	567
449	463	566
450	463	564
451	464	563
452	465	561
453	465	560
454	466	558
455	467	557
456	467	555
457	468	554
458	469	553
459	469	551
460	470	550
461	471	548
462	471	547
463	472	545
464	473	544
465	474	543
466	475	542
467	475	540
468	476	539
469	477	537
470	478	536
471	478	535
472	479	534
473	479	532
474	480	531
475	481	529
476	481	528
477	482	526
478	483	525
479	483	523
480	484	522
481	485	521
482	485	520
483	486	518
484	487	517
485	487	515
486	488	514
487	489	514
488	490	512
489	491	511
490	491	509
491	492	508
492	493	507
493	493	505
494	494	504
495	495	503
496	495	501
497	496	500
498	497	499
499	497	497
500	498	496
501	498	495
502	499	493
503	500	492
504	500	490
505	501	489
506	501	488
507	503	487
508	503	486
509	504	484
510	505	483
511	505	482
512	506	481
513	507	479
514	507	478
515	508	476
516	509	475
517	510	474
518	510	473
519	511	471
520	511	470
521	512	469
522	513	468
523	513	466
524	514	465
525	514	463
526	515	462
527	516	461
528	516	460
529	517	458
530	518	457
531	520	457
532	520	456
533	521	455
534	522	453
535	523	452
536	524	451
537	524	450
538	525	449
539	526	448
540	527	447
541	528	446
542	528	445
543	529	443
544	530	442
545	531	442
546	532	440
547	532	439
548	533	438
549	535	437
550	536	436
551	536	435
552	537	434
553	538	433
554	539	432
555	540	431
556	541	430
557	542	429
558	543	428
559	544	427
560	544	426
561	545	424
562	546	423
563	547	422
564	547	421
565	548	420
566	549	419
567	550	418
568	550	417
569	551	416
570	552	415
571	553	414
572	554	413
573	554	411
574	555	410
575	556	409
576	556	408
577	557	407
578	558	405
579	559	404
580	559	403
581	560	402
582	560	401
583	561	399
584	562	398
585	563	397
586	563	396
587	564	395
588	565	394
589	565	393
590	566	391
591	566	390
592	567	389
593	568	388
594	569	387
595	569	386
596	570	385
597	571	383
598	571	382
599	572	381
600	572	380
601	573	379
602	574	378
603	574	376
604	575	375
605	576	374
606	577	373
607	577	372
608	578	371
609	579	370
610	579	369
611	581	368
612	581	367
613	582	366
614	582	364
615	583	363
616	584	362
617	585	361
618	585	360
619	586	359
620	586	358
621	587	357
622	588	355
623	588	354
624	589	353
625	590	352
626	590	351
627	591	350
628	592	349
629	593	348
630	593	347
631	594	346
632	595	345
633	596	344
634	596	343
635	597	341
636	597	340
637	598	339
638	599	338
639	599	337
640	600	336
641	601	335
642	601	334
643	602	333
644	603	331
645	603	330
646	604	329
647	605	328
648	605	327
649	606	326
650	607	325
651	608	324
652	608	323
653	609	322
654	610	321
655	611	320
656	611	319
657	612	318
658	612	317
659	613	315
660	614	314
661	614	313
662	615	312
663	616	311
664	616	310
665	617	309
666	618	308
667	618	307
668	619	306
669	620	305
670	621	304
671	621	303
672	622	302
673	622	301
674	623	300
675	624	299
676	624	298
677	625	297
678	626	296
679	627	295
680	627	293
681	628	292
682	628	291
683	629	290
684	630	289
685	630	288
686	631	287
687	632	286
688	633	285
689	633	284
690	634	283
691	634	282
692	635	281
693	636	280
694	636	279
695	637	278
696	638	277
697	639	276
698	639	275
699	640	274
700	641	273
701	642	272
702	642	271
703	643	270
704	643	269
705	644	268
706	645	267
707	645	266
708	646	265
709	646	264
710	648	263
711	648	262
712	649	261
713	649	260
714	650	259
715	650	258
716	652	257
717	652	256
718	653	255
719	654	254
720	654	253
721	655	252
722	656	251
723	657	250
724	657	249
725	658	248
726	659	247
727	660	246
728	660	245
729	661	244
730	662	243
731	662	242
732	663	241
733	663	240
734	664	239
735	665	238
736	666	237
737	667	236
738	667	235
739	668	234
740	669	233
741	669	232
742	670	231
743	671	231
744	672	230
745	673	229
746	674	228
747	674	227
748	675	226
749	675	225
750	676	224
751	677	223
752	677	222
753	678	221
754	679	220
755	679	219
756	680	218
757	680	217
758	681	216
759	682	215
760	682	214
761	683	213
762	684	212
763	685	211
764	685	210
765	686	209
766	687	208
767	688	207
768	688	206
769	689	205
770	690	205
771	690	204
772	691	203
773	691	202
774	692	201
775	693	200
776	694	199
777	694	198
778	695	197
779	696	196
780	696	195
781	697	194
782	697	193
783	698	192
784	699	191
785	699	190
786	700	189
787	701	188
788	702	187
789	702	186
790	703	185
791	703	184
792	704	183
793	705	183
794	705	182
795	706	181
796	707	180
797	707	179
798	708	178
799	709	177
800	710	176
801	711	175
802	711	174
803	712	173
804	712	172
805	713	171
806	714	170
807	715	169
808	715	168
809	716	168
810	717	167
811	718	166
812	718	165
813	719	164
814	720	163
815	720	162
816	721	161
817	721	160
818	722	159
819	724	158
820	724	158
821	725	157
822	725	156
823	726	155
824	727	154
825	728	153
826	728	152
827	729	151
828	729	150
829	731	149
830	732	148
831	732	147
832	733	147
833	734	146
834	734	145
835	735	144
836	736	143
837	737	142
838	738	141
839	738	140
840	739	139
841	740	138
842	741	138
843	742	137
844	742	136
845	743	135
846	744	134
847	745	133
848	746	132
849	747	131
850	748	131
851	749	130
852	750	129
853	751	128
854	751	127
855	752	126
856	753	125
857	754	124
858	755	123
859	756	123
860	756	122
861	757	121
862	758	120
863	759	119
864	760	118
865	760	117
866	761	116
867	762	115
868	763	115
869	764	114
870	765	113
871	765	112
872	766	111
873	767	110
874	767	109
875	768	108
876	769	107
877	770	107
878	771	106
879	772	105
880	772	104
881	773	103
882	774	102
883	775	101
884	775	100
885	776	99
886	778	99
887	778	98
888	779	97
889	780	96
890	780	95
891	782	94
892	783	93
893	783	92
894	784	92
895	785	91
896	786	90
897	787	89
898	787	88
899	788	87
900	789	86
901	790	85
902	791	84
903	792	84
904	792	83
905	793	82
906	794	81
907	795	80
908	796	79
909	797	78
910	798	77
911	798	77
912	799	76
913	800	75
914	801	74
915	801	73
916	802	72
917	803	71
918	804	70
919	805	70
920	806	69
921	807	68
922	808	67
923	809	66
924	809	65
925	810	64
926	810	63
927	811	62
928	812	62
929	812	61
930	813	60
931	814	59
932	814	58
933	815	57
934	816	56
935	816	55
936	817	54
937	818	54
938	819	53
939	819	52
940	820	51
941	820	50
942	821	49
943	822	48
944	823	47
945	823	47
946	824	46
947	825	45
948	826	44
949	826	43
950	827	42
951	828	41
952	829	40
953	830	40
954	830	39
955	831	38
956	831	37
957	832	36
958	833	35
959	834	34
960	834	33
961	835	33
962	836	32
963	836	31
964	837	30
965	838	29
966	839	28
967	839	27
968	840	26
969	841	26
970	842	25
971	842	24
972	843	23
973	844	22
974	845	21
975	846	20
976	847	19
977	848	19
978	848	18
979	849	17
980	849	16
981	850	15
982	851	14
983	852	13
984	852	12
985	853	12
986	854	11
987	855	10
988	855	9
989	856	8
990	857	7
991	858	6
992	859	6
993	860	5
994	861	4
995	861	3
996	862	2
997	863	1
998	864	0
999	864	0
